LoopId,LoopStartTime,BackgroundThreads,LogCleanerThreads,NumIoThreads,NumNetworkThreads,NumPartitions,NumNodes,NumReplicaFetchers,ThreadsClient,MessageSize,TotalMessages
1,2019-07-11_12-52-19,20,1,4,6,2,1,1,10,10240,333041
2,2019-07-11_13-26-59,20,1,4,6,2,1,1,10,102400,75476
3,2019-07-11_14-01-41,20,1,4,6,2,1,1,15,10240,485725
4,2019-07-11_14-36-25,20,1,4,6,2,1,1,15,102400,76039
5,2019-07-11_15-11-09,20,1,4,6,2,1,1,20,10240,615334
6,2019-07-11_15-45-56,20,1,4,6,2,1,1,20,102400,76837
7,2019-07-11_16-20-38,20,1,4,6,2,1,1,25,10240,690049
8,2019-07-11_16-55-25,20,1,4,6,2,1,1,25,102400,76240
9,2019-07-11_17-30-08,20,1,4,6,2,1,1,50,10240,678160
10,2019-07-11_18-04-57,20,1,4,6,2,1,1,50,102400,77503
11,2019-07-11_18-39-42,20,1,4,6,2,1,2,10,10240,333564
12,2019-07-11_19-14-22,20,1,4,6,2,1,2,10,102400,75773
13,2019-07-11_19-49-02,20,1,4,6,2,1,2,15,10240,485449
14,2019-07-11_20-23-47,20,1,4,6,2,1,2,15,102400,76616
15,2019-07-11_20-58-31,20,1,4,6,2,1,2,20,10240,613147
16,2019-07-11_21-33-17,20,1,4,6,2,1,2,20,102400,75813
17,2019-07-11_22-07-57,20,1,4,6,2,1,2,25,10240,700524
18,2019-07-11_22-42-42,20,1,4,6,2,1,2,25,102400,76571
19,2019-07-11_23-17-22,20,1,4,6,2,1,2,50,10240,713739
20,2019-07-11_23-52-06,20,1,4,6,2,1,2,50,102400,77561
21,2019-07-12_00-26-47,20,1,8,6,2,1,1,10,10240,333231
22,2019-07-12_01-01-25,20,1,8,6,2,1,1,10,102400,73775
23,2019-07-12_01-36-03,20,1,8,6,2,1,1,15,10240,486498
24,2019-07-12_02-10-42,20,1,8,6,2,1,1,15,102400,76204
25,2019-07-12_02-45-21,20,1,8,6,2,1,1,20,10240,613519
26,2019-07-12_03-20-03,20,1,8,6,2,1,1,20,102400,76913
27,2019-07-12_03-54-42,20,1,8,6,2,1,1,25,10240,700856
